index,text,label_text,label_code,tweet_id
28,"RT any reason that viability outside the womb is a bad determining point for abortion? Anything less than 13 weeks is an abomination since hormones are wreaking havoc on a woman's body for those weeks, and it is not a good time to make big decisions.",Slightly believe abortion should be legal,1,
29,"You think that ridiculousness is true? Why is Roe v. Wade always on the table in US politics if church and state are separate? From a secular standpoint, access to abortion is important for basic healthcare and safety. Anything else is religion dictating laws.",Slightly believe abortion should be legal,1,
30,"Because white people run it,gays aren't allowed and they keep the non-whites far away. Pretty simple,actually. Just don't tell them abortion is legal in Russia. And guns are illegal.",Neutral to abortion rights/restrictions,0,
31,RT Texas abortion ruling is a 'disaster' for the rule of law disguised as a 'fig leaf': Laurence Tribe ,Strongly believe abortion should be legal,2,
32,Some states have reporting requirements for abortion providers which includes age of the fetus; procedure used; the patients reason for abortion; fetal heartbeat detection; the method of payment etc. The study providing the 0.39% included 2.4 million aborting women.,Neutral to abortion rights/restrictions,0,
33,"RT Liberals are so for abortion and are scared to death that Roe V. Wade will be overturned because they know if abortion is illegal, all the social programs they are pushing will collapes due to they were never suppose to be for the masses. They must control the population!",Strongly believe abortion should be illegal,-2,
34,RT The new law guarantees access to reproductive care before and after pregnancy and bans local governments from imposing their own restrictions. ,Neutral to abortion rights/restrictions,0,
35,"I agree with you on Abortion rights, Im pro choice. But you need to let people say what they want in a Democracy to encourage civil discourse. Without it one side sets the narrative and eventually becomes more and more authoritarian right or left.",Strongly believe abortion should be legal,2,
36,"RT Todays candidate3: (Ver.10) For the U.S. Senate(NV). supports: Water conservation efforts Pay raise for firefighters Boosting supply chains Womens healthcare, including abortion/mental health Keep the steady keeper of Nevada #DemVoice1 #ONEV1 #BlueDot ",Strongly believe abortion should be legal,2,
37,"Abortion clinics, schools,libraries etc you knew that right ?",Neutral to abortion rights/restrictions,0,
38,RT Donald Trump selected as Supreme Court nominees (and the Senate fast-tracked the confirmation of) judges who were hand-picked by the Federalist Society to overturn Roe v. Wade. ,Neutral to abortion rights/restrictions,0,
39,"Fetus and Baby are semantics, meaning entirely different things.And because a Dr or Nobel Prize winner says fertilization begins the development of human life does not mean they are saying at any time of z/e/f stages it is a human being or baby or that abortion is murder.",Slightly believe abortion should be legal,1,
40,"Conservatives use Parliament to sow disinformation & perform political theatre. Pretending you & your fellow anti-choice anti-vax Christian Right extremists are actually working for constituents, is laughable. ",Strongly believe abortion should be legal,2,
41,"RT Indeed. This all prevents unwanted pregnancy, and reduces abortion levels.",Slightly believe abortion should be illegal,-1,
42,"RT Senator takes issue with a state being ""pro-life"" while having the death penalty. He also points out that is demeaning to get up in front of a room full of women and mothers and explain how pregnancy and development works.",Strongly believe abortion should be legal,2,
43,RT Abortion rights activists plan protests outside of Supreme Court justiceshomes ,Strongly believe abortion should be legal,2,
44,RT BREAKING: Kentucky has effectively suspended legal abortion access in the entire state as their new law forces providers to stop offering abortions until they can meet certain requirements. Write YES if YOU support a woman's right to choose and think Kentucky should be SUED!,Strongly believe abortion should be legal,2,
45,RT Attorney General Mark Brnovich wants a judge to let him start enforcing a law prohibiting certain abortions despite a federal court ruling which found it unconstitutional. via @azcapmedia,Slightly believe abortion should be illegal,-1,
46,So you approve of killing millions of innocent humans? The vast majority of these exterminated humans are only guilty of being an inconvenience. If you are pro-abortion you are an evil person.,Strongly believe abortion should be illegal,-2,
47,RT The soul of America? What total hypocrisy! You supported the destruction of America.your administration raised bail money for the criminals.Democrats KILLED the soul of America! GOD Doesnt support abortion! GFY ,Strongly believe abortion should be illegal,-2,
48,"RT Want to reduce abortions without stripping human rights? - Pay a living wage - Give women equal pay - Educate - Make birth control accessible & affordable If you're not fighting for any of these, all you want is to control women. You know it, we know it, & f u for it. #MyRights ",Strongly believe abortion should be legal,2,
49,"Im not engaging in whataboutism to dismiss the law here. My point is that its hypocritical to scream about peaceful protests regarding abortion while equally illegal violent protests and threats about COVID were excused - no, ENCOURAGED - by the same people barely 2 years ago.",Neutral to abortion rights/restrictions,0,
50,RT Great piece about the history of medication abortion and all the regulations surrounding it. ,Neutral to abortion rights/restrictions,0,
51,"Abortion is not illegal in Texas , you can have one up to the time of a heartbeat ... thats 2 months , pregnancy test are much cheaper than covid test, if you miss your period, spend the 12 bucks. you just look evil to scream about this law. true story",Strongly believe abortion should be illegal,-2,
52,RT Access to medication abortion is an integral part of reproductive freedom! #AbortionIsEssential,Strongly believe abortion should be legal,2,
53,RT El Salvador has some of the strictest abortion laws in the world. Teodora Vasquez was sentenced to 30 years in prison for aggravated homicide after she was accused of having an abortion. Watch how she fought to prove her innocence: ,Neutral to abortion rights/restrictions,0,
54,RT Abortion may carry the same trauma and grief as miscarriage for many men and women. Loss is painful. Healing is possible.,Neutral to abortion rights/restrictions,0,
55,They hope a domino effect will happen to shittier countries as unstable as the States can implement their own anti-abortion laws.,Strongly believe abortion should be legal,2,
56,"RT On the first day of session, threats to our reproductive freedom are being advanced in the #mnleg in the form of a Texas-style abortion ban. It is proof of the extremism of MNGOP lawmakers, proof of what they want to impose on us if given the power. We will not allow it. ",Strongly believe abortion should be legal,2,
57,RT California Gov. Newsom Suggests Texas-Like Law for Gun Control ,irrelevant or no opinion on abortion,99,
58,Miscarriage not abortion you dumb fuck. Still didn't read it. Still making excuses. It's not irrelevant it's a woman's bodily autonomy taken away you snake in the grass. I've sent links and you don't even read them. You are to dumb for me to even waste my time with. ,Strongly believe abortion should be legal,2,
59,"RT Reminder: Mexico's Supreme Court Decriminalizes Abortion Menstruating persons in Mexico didnt win this without a fight. They organized, protested and even started riots. Lets go. ",Strongly believe abortion should be legal,2,
60,"Try not to watch too much news, its depressing. They just talked about the gas shortage in UK, dont hear much about the UK. It's all abortion stuff at present & Trump running again in 2024,God help us, don't want to live through that again. Something nice, it is a baby flamingo ",Neutral to abortion rights/restrictions,0,
61,"None. Nor will the evangelicals acknowledge their hypocrisy about Israel, Trump, and abortion. Government subsidized at any gestational point. ",Neutral to abortion rights/restrictions,0,
62,"Abortion is not a crime, but it will be in Wisconsin if Roe is dismantled. Please sign the petition to #StrikeTheBan and protect abortion: ",Strongly believe abortion should be legal,2,
63,RT We are about to see Roe Vs Wade overturned and legal abortion become a thing of the past partly because of people who decided Hillary just hadnt earned their vote. And partly because too many people just couldnt be bothered voting at all.,Strongly believe abortion should be legal,2,
64,They wouldnt need security if not for the circumstances of his birth which is not something he can control. They should absolutely get it.,Neutral to abortion rights/restrictions,0,
65,"Following Texas abortion ban, Ohios reproductive rights organizations are keeping a watchful eye on state legislation. ",Neutral to abortion rights/restrictions,0,
66,"So Im really glad that you support abortion, and no mask mandates! I love to see a man fighting for womens rights!",Strongly believe abortion should be legal,2,
67,Pro-life and providing disability awareness? You're the man,Strongly believe abortion should be illegal,-2,
68,"Like, even with my close friends, every single intimate detail I know about them- dating, fertility issues, birth control, etc- is stuff that they told me unprompted. And part of the reason is that I don't want to be one of THOSE people, who I just don't understand at all.",Neutral to abortion rights/restrictions,0,
69,"RT With the filibuster in place, its wishful thinking. It's voting rights or the filibuster. It's clim",irrelevant or no opinion on abortion,99,
70,but i also took my first birth control pill like an hour ago could that be the cause? ,Strongly believe abortion should be legal,2,
71,"I'll pick up on the point then. The goal is to make abortion unthinkable. We'd prefer women to not even attempt illegal abortions. However, in the year Roe was decided there were fewer than 100 deaths of mothers in abortions, and more were from legal than illegal.",Strongly believe abortion should be illegal,-2,
72,"You do not think there is an actual difference on, say, the issue of abortion rights between the party that nominates Sonia Sotomayor and the party that nominates Amy Barrett?",Neutral to abortion rights/restrictions,0,
73,"RT Abortion rights led to womens advancements across society & the economy. The data is the data, says Yet in Justice Alitos draft opinion, the justices did not even consider or acknowledge the data about how this will affect women. #Velshi ",Strongly believe abortion should be legal,2,1525940374853804032
74,"RT Repro workers have been very clear about whats needed in this moment! Donate to abortion + practical support funds. Sign up to volunteer with your local clinic or fundif it takes them a bit to get back to you, stay steady, stay patient Follow the folks whove been leading! ",Strongly believe abortion should be legal,2,1542278486936924160
75,"RT Court On A Hot Tin Roof: Airing Out ""The Stench"" From The Oral Argument Over Abortion ",Neutral to abortion rights/restrictions,0,1467654870266044423
77,RT The memes will write themselves with this one... Michelle Obama Worries About Post-Roe Healthcare for 'Womxn' ,Slightly believe abortion should be legal,1,1526636912202612736
78,"Always put on a condom, reproductive rights are fundamental and women are entitled to their freedom",Strongly believe abortion should be legal,2,1501144511413735432
79,I'm Aussie but feel your's and their pain. Texas is not somewhere I would wish ever to visit ATM. Draconian is my vision... but I wish all people health and reproductive rights. If only male government felt the same... (fuckers). Oops ,Strongly believe abortion should be legal,2,1489165575528271873
80,"RT You are misinformed if you think that abortion is easy, efficient and non traumatic at any time whatever the circumstances. Educate yourself in the trauma that women feel for many many years after an abortion ",Strongly believe abortion should be legal,2,1492638723682586628
81,"""choice"" and ""women's bodies"" are bywords for pro abortion murderers. Don't backpedal now.",Strongly believe abortion should be illegal,-2,1514968198055088134
82,"Abortions are no different than having a tumor or growth removed. It is not viable life before 20 weeks, and that is a medical fact. Abortion has its place in heathcare & is performed for many different reasons including fetal viability, domestic violence, rape incest, infections",Strongly believe abortion should be legal,2,1484425976616525824
83,This isnt the 18th century. People have sex for pleasure not for reproduction. Abortion is healthcare! ,Strongly believe abortion should be legal,2,1520032507789512704
84,"Actually the hypocrisy really just goes one way on this. When pro-choice people get pregnant and they want to keep it.they don't suddenly become anti-choice. But when so-called pro-life people get pregnant and they don't want it, they absolutely go for a secret abortion",Slightly believe abortion should be legal,1,1471485953730617345
85,"RT Oklahoma basically just completely banned and criminalised abortion, with no exception for rape or incest. As usual with the in the last six years, the cruelty is the point. And disrespect for the law, and women. ",Strongly believe abortion should be legal,2,1514358672754937859
86,RT Its been discovered that yet another person tasked with reviewing Irelands abortion laws - this time the chair of the process - tweeted support for repeal around the time of the 8th amendment. #gript ,Neutral to abortion rights/restrictions,0,1488591597071736838
87,"RT Yesterday, Senate Democrats took to the steps of the U.S. Capitol to express their outrage about Roe v. Wades uncertain future. We will fight back with everything we have to elect leaders at every level of government who will protect our fundamental rights. ",Strongly believe abortion should be legal,2,1521992072596791297
88,"RT Since young religious women people are more likely to fail with contraception- this will hurt them the most. Expect more child marriages, and illness from backyard abortion. ",Strongly believe abortion should be legal,2,1519737308232093696
89,"RT Well abortion is still legal, so its not just my opinion",Slightly believe abortion should be legal,1,1484960557207900165
90,"Need to rid these money sucking gynos. Theyll its normal, birth control will help you until you need to get something removed. ",Neutral to abortion rights/restrictions,0,1506254182986268682
91,"So what you're saying is you think a person is going to voluntarily remain pregnant for 9 months. Put themselves and their health at risk, for an unwanted pregnancy when abortion is legal and 14 times safer than continuing a pregnancy and giving birth? /1",Strongly believe abortion should be legal,2,1502294786304143363
92,Sen. Joni Albrecht says there will definitely be an attempt to pull her bill out of committee - its so-called trigger bill that would ban abortion in #Nebraska if U.S. Supreme Court overturns Roe v. Wade. Pull motion takes 25 votes in 49-member #NELeg.,Strongly believe abortion should be illegal,-2,1503806901745762318
93,"I guess you never saw the ""shout your abortion"" posts.",Neutral to abortion rights/restrictions,0,1484976198350422020
94,It is my business. Like you I once didnt care. Till I found out a child (my daughter possibly) could go to the school and they would take her to a abortion clinic. Not telling the parents or caring if they conceited. Now a medical procedure is being performed on my child.,Slightly believe abortion should be illegal,-1,1499568918628818952
95,Cool. So abortion rights =\= reproduction rights. Glad we on the same page.,Neutral to abortion rights/restrictions,0,1488180200173027330
96,That is why I support all the young horny people having anal sex. No abortion needed and bowels always work good. Don't forget your condoms guys or you will end up with a disease and a shi77y d7ck Power to the a77 Save a child ,Slightly believe abortion should be illegal,-1,1487400136787509248
97,"Typical troll. Nothing substantive. Typical leftist: *Actually* cares about justice & actual lives - even if they don't happen to be white, not virtue signaling at abortion clinics for political control or cheering murderers.",Neutral to abortion rights/restrictions,0,1473339256391323657
98,Please don't try to label me or anyone else. Other than being pro-life you know nothing about what I do or don't do.,Strongly believe abortion should be illegal,-2,1519129527967965185
99,Thats certainly a twist. Nobody wants to think of themselves as pro abortion. We just want our government to equally let people make decisions with the help of their doctors.,Strongly believe abortion should be legal,2,1482372374792126471
100,"So because you dont think its a form of birth control, then you are ok with the fact that women who need it for medical necessity are also barred from having access to healthcarebecause cutting it off does that for ALL women.",Strongly believe abortion should be legal,2,1434292520398344194
101,"If 21 is the legal drinking age because we think we can arbitrarily use that age to represent adulthood and maturity, then it should apply to purchasing Firearms, Joining the Military, Having an Abortion, having sex etc. Let us be consistent!",Slightly believe abortion should be illegal,-1,1525937343278071808
102,"RT Photos: Protests Against the Overturning of Roe - 30 images from Friday and Saturday, showing people voicing their anger in cities and towns across the U.S., over the Supreme Court's decision that removes the federal right to an abortion. ",Strongly believe abortion should be legal,2,1541198883073806336
103,"Im not a clown man. We disagree. Im libertarian on almost all my thoughts, except abortion. Im fervently pro-life and Im not going to apologize for that. I dont find it acceptable for a pregnant woman to do meth. Sorry.",Strongly believe abortion should be illegal,-2,1471954455776141323
104,"Oddly enough, ""audio-visual abortion"" was my nickname growing up.",Neutral to abortion rights/restrictions,0,1435735997367607296
105,Agreed. Most of the arguments I hear for common use abortion all revolve around the fact that the mother doesnt want to be inconvenienced and only thinks about how her decision will affect her,Neutral to abortion rights/restrictions,0,1512878627205042182
106,"We hear from women who terminate unplanned pregnancies, looking 4 support 4 unexpected feelings which include grief. We believe that every pregnancy matters, planned or unplanned, and everyone is entitled to access the right support for their journey. [ #BLAW2022 ]",Strongly believe abortion should be legal,2,1449142512816361472
107,"RT Hi, please find the unroll here: 1) Those judging the Tx Abortion Law should consult Scalias justly https:/",Neutral to abortion rights/restrictions,0,1454837342422851591
108,RT PICCK has created a flyer to help patients think if they want to talk to you about birth control during their visit. Post this in your clinic so they can begin thinking about this question that will guide their contraceptive counseling session. ,Strongly believe abortion should be legal,2,1484247030017019905
109,RT If you are a pro-choice Catholic you should read this blog very well-informed and accurate. We need to stop letting conservative Catholics take our church Away from us it is time to push back ,Strongly believe abortion should be legal,2,1533223384099659776
110,RT Here are 3 reasons why the right to abortion doesnt exist. ,Strongly believe abortion should be illegal,-2,1522722474382831617
111,"RT Father God, we pray, save the unborn today and we pray end abortion in America in our generation! Arise Lord and save the",Strongly believe abortion should be illegal,-2,1446196350513827845
112,"RT On #InternationalSafeAbortionDay please consider donating to your local abortion fund, which can be found here. https:",Strongly believe abortion should be legal,2,1442933065228058626
113,RT I was considered a liberal 12 years ago because I believe that abortion should be allowed in certain cases that I believe gay people should be able to get married without ridicule but now because I won't say men can be women and men can have babies I'm considered a right-wing,Slightly believe abortion should be legal,1,1520566721241055233
114,RT Amanda stoker gone too - the assistant minister for women who thought it was appropriate to attend an anti-abortion rally ,Neutral to abortion rights/restrictions,0,1528491875459403776
115,"RT No sooner did Amy get into her car after taking the 1st part of the 2-dose chemical abortion regimen, did she have immed",Neutral to abortion rights/restrictions,0,1461734796900675584
116,Disparage much? People rightly accept abortion because we love woman and agree they know what's best for their lives.,Strongly believe abortion should be legal,2,1502430212998455296
117,"""I cheated on my partner again and got pregnant, this will be my 3rd abortion so my partner doesn't find out I'm cheating on him. I can always get pregnant again."" Quoted from a young military wife. I over heard her talking to her friend in a fast food bathroom today.",Neutral to abortion rights/restrictions,0,1444899905110171649
118,"RT Bidens track record: Bike ride tumble, staircase stumble Stocks in bear market 40-yr-high inflation Record high gas prices, $5+ Prosecution of political opponents Record high border invasion 23 pro-life orgs firebombed Schools unsecured",Neutral to abortion rights/restrictions,0,1538960096780177408
119,"RT Kinda weird that abortion is considered murder, but a cop killing a minority is just a misunderstanding.",Strongly believe abortion should be legal,2,1447262758601363461
120,RT Anyone surprised by this has been asleep. Much of the push to overturn campaign spending limits was driven by anti-abortion activists intent on imposing fringe views on the majority- through elections and the courts.,Strongly believe abortion should be legal,2,1521995097126047744
121,RT Hillary Clinton: Todays Supreme Court opinion will live in infamy as a step backward for womens rights and human rights. ,Strongly believe abortion should be legal,2,1540843149609893889
122,"1. count the # of his name 2. Jewish/not a believer 3. atheist 4. stout 5. pro-choice (does not regard the desire of women) 6. comes in peace 7. worldwide acclaim 8. uses the words ""citizen of the world"" ""leader of the world"" and ""leader of peace""",Neutral to abortion rights/restrictions,0,1505678176747495429
123,"Abortion no, rape yes for the simple fact they can experience rape as well ",Neutral to abortion rights/restrictions,0,1446392557135486980
124,"Feminism has managed to smuggle abortion, one of the most aberrant, cruel and inhuman acts against a defenseless and without rights: the human embryo. Opening the debate: genocide of the gestated ",Strongly believe abortion should be illegal,-2,1468005271133990916
125,"You mean like the freedom of women being able to have access to abortion?? That kinda ""more freedom"" Rafael???",Strongly believe abortion should be legal,2,1474947480378691589
126,"Does the vaccine stop COVID? No, it doesn't. Therefore, it's a personal medical decision. It's equivalent to abortion.",Strongly believe abortion should be legal,2,1455262780215500810
127,Abortion is not banned in Texas. So you're good with McAuliffe telling a bold faced lie that has been proven a lie because it could happen?,Slightly believe abortion should be legal,1,1450506614449086469
128,Instead of all u boost nuts debating on vax&unvax having =accessabilities u would rather follow govt lies that unvaxed r the problem instead of standing for all r rights to decide whatever life choices any of us make that's why abortion rights have been violated so long 0 unity,Strongly believe abortion should be legal,2,1487331063613513730
129,"RT According to a poll, the abortion debate is motivating voters in 2022 ",Neutral to abortion rights/restrictions,0,1445220683735343108
130,"RT When you think about it, it's not at all strange. They've never believed in ""my body, my choice"". It's always been, ""their body, my choice."" It's not the woman who ends up dead in an abortion. Someone else does. In both cases, it's them, asserting power over someone else's body. ",Strongly believe abortion should be legal,2,1481744935674167297
131,RT On #HumanRightsDay which marks the end of the #16days our GS reflects on how to achieve gender justice for all. Read it here: https://t.co/SGY6nCeesb #GBV has many forms. We need to put an end to all of them. Take action: https://t.co/Ityl5Apl70 #TheRoad2Equality,Strongly believe abortion should be legal,2,1469365767732961287
132,How about teaching women about birth control? Its not that difficult ,Strongly believe abortion should be legal,2,1538592466466504704
133,"""lied to about many things"" blanket statement with zero eveidance. What have we been lied to about abortion? Why do you have to get off topic? ""Most GOP""",Neutral to abortion rights/restrictions,0,1514984166282219527
134,RT The Democrat abortion leak & protests is a COMMUNIST move! Never fall for it! SAVE FREEDOM bring on the red wave!!! ,Strongly believe abortion should be illegal,-2,1523437333647073280
135,"RT The complete insanity of #GQP. Ladies and gentlemen, I give you resurgence of polio, smallpox,diphtheria, Rubella, an",irrelevant or no opinion on abortion,99,1447713292911366147
136,RT It's voting rights or the filibuster. It's climate action or the filibuster. It's racial justice or t,irrelevant or no opinion on abortion,99,1453449477860179977
137,"You hit problem. Americans are divided in a dozen ways when abortion should be restricted, not to mention how/why. And after that, you say 2 months, but if a woman doesnt know for possibly 6 weeks, confirm later, then deal with physical/personal/professional perils of pregnancy,",Slightly believe abortion should be illegal,-1,1485152075268845568
138,"It's horrible! Sad! I'm a ex newyorker, we would watch news stories of people being busted for back alley abortion clinics, in basements.. peoples apts! Scary crazy stuff!",Slightly believe abortion should be illegal,-1,1456319286113300480
139,RT who wants to hang when the album drops? *must be on birth control* ,Slightly believe abortion should be legal,1,1479169773007261696
140,"RT Biden heads to Europe, his party ravaged by SCOTUS abortion/ gun decisions/Initial triumphalism about Ukraine gives way to daunting reality:Slow/slog war of attrition. Biden should stay here,rally country,speak in or to every state, and this time lead vs homegrown autocrats.",Neutral to abortion rights/restrictions,0,1540482188583378950
141,"Nope- Wisconsin had a 170 year old abortion ban go into place. That means treating the cancer could kill the baby- so baby before mom. Doesnt matter if mom has other kids- they dont care, because they dont think ahead. IVF & PICSI is off the table now because those are PEOPLE.",Slightly believe abortion should be illegal,-1,1540482358729662471
142,"Whats wrong with executing a convicted killer? Execution, after all, its just another procedure, like abortion, right?",Neutral to abortion rights/restrictions,0,1535591446820036613
143,"I honestly just see a lot of scared people in this thread. It seems like the old Cons think young kids are going to vote Liberal or NDP. topics like abortion, climate change, LGBTQ rights are on young ppls minds. People like Pierre Poilievre are ruining the Fed Cons. Fact",Neutral to abortion rights/restrictions,0,1470615396801826816
144,You can think abortion is horrible and not agree with it and not be a horrible person. You can also be pro choice and not be a horrible person. Too many insults and hatred are thrown around because of differing opinions these days.,Neutral to abortion rights/restrictions,0,1514298735072890881
145,"Unions mean higher wages. If your a social conservative that means one person can stay at home. It means less poverty so you'll see less crime, lower divorce rates because of the stress money problems create, less abortion because people can afford kids.",Neutral to abortion rights/restrictions,0,1468683111689072644
146,"5th Circuit did NOT uphold the Texas abortion ban. It simply ruled that the DOJ has no standing to sue Texas, which is correct. Maybe the DOJ can file criminal charges against Texas lawmakers for treason. Read my column to understand why: ",Neutral to abortion rights/restrictions,0,1448849865723817986
147,"RT Mississippi asked the Supreme Court to overturn #RoeVWade, and if they succeed, millions of Americans across the country could be denied their constitutional right to abortion. We need to pass the Women's Health Protection Act to defend our reproductive freedom. ",Strongly believe abortion should be legal,2,1466156576553586694
148,"Nice opinion but not what the Court said in - MADSEN v. WOMEN'S HEALTH CTR., INC.(1994). Stand on the sidewalk and yell at abortion clinic staffers at home. The Court said that was allowed...",Neutral to abortion rights/restrictions,0,1534585526866550785
149,RT If in Canada today you think abortion is a debating point or joining revellers in a Pride event is against your personal values as a Political leader of a modern nation don't run for political office... ,Strongly believe abortion should be legal,2,1503225250720280580
150,Ok so most states have a 25 week law. Whats the difference? A heart beat is still present. I believe that a heart beat determines life. Im not totally against abortion if the mother is in a life or death situation or significant medical issues develop,Slightly believe abortion should be illegal,-1,1506738534450966529
151,RT i am pro-abortion. i would like to increase the number of abortions to the exact point that everyone who wants one can get it quickly and safely.,Strongly believe abortion should be legal,2,1513639156823388161
152,"There are many tests/procedures specific to Women, that isnt necessarily abortion. besides I was just thinking aloud.",Neutral to abortion rights/restrictions,0,1524165096661868544
153,This is disgusting as no law has ended abortion completely only limited it BACK to where it started to begin with. This folks is how Hitler took over by brainwashing the babies born until they became 18 yrs old and older. Society has always been sick.,Strongly believe abortion should be legal,2,1454150812607913984
154,"RT Great News! Abortionists in Texas wave the white flag of surrender, acknowledging that their suit to challenge the Texas Heartbeat Act has failed. The ban on abortions after heartbeat detected will stand and keep saving lives. #ProLifeVictory #ProLife ",Slightly believe abortion should be illegal,-1,1506048773973282829
155,"YOU ARE THE LIAR RAND PAUL- Replying to @Men_4_Choice THERE MUST A JOURNALIST WHO CAN WRITE AN ARTICLE SHOWING WHAT HAPPENS TO A NATION WHEN ABORTION IS BANNED! FILTHY, OVER CROWDED ORPHANAGES AND THOUSANDS OF WOMEN DEAD FROM BACK ALLEY ABORTIONS, AND DUMPSTER-DEAD FETUSES.",Strongly believe abortion should be legal,2,1456320854577623042
156,"RT The tweet makes it seem like Neil Gorsuch is giving a speech entitled ""The End of Roe v. Wade"" that the press is banned from. A simple reading of the website shows that is not the casebut you didn't link to the agenda. ",Neutral to abortion rights/restrictions,0,1488934809103581186
157,"Okay, here goes. When the woman who is my wife and I were young, we got pregnant (we've always been in this life together). Not ready for a baby, had a lot of growing up to do. At the time we thought an abortion would be best. Later we regretted it, and we both carried pain and",Slightly believe abortion should be legal,1,1518412379301859329
158,"RT To all female voters in California... Family, friends, etc... If you don't want men telling you wha",irrelevant or no opinion on abortion,99,1434666462128476160
159,Abortion is a separate medical procedure. Stillbirth of any kind is not considered abortion and not an argument of pro-lifers,Neutral to abortion rights/restrictions,0,1541925460044414977
160,An important thread to read. Thank you for your bravery in sharing your very personal story. The entire argument against reproductive rights is based in theology and is a violation of every American's First Amendment rights. ,Strongly believe abortion should be legal,2,1466507836209381381
